id,page_url,type_page,role,proprietaire,etat_initial,element_action,scenario,attendu,observe,statut,preuve,version_testee,date_test,navigateur_ecran,bug_id,raison_na_ou_blocage
"UI-01","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","formulaire incomplet","Déposer pour validation","Erreur sans univers","Texte et sélections conservés","Erreur univers affichée et saisie conservée","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-01",""
"UI-02","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","texte et date saisis","Fermer puis nouvel onglet","Reprise inter-onglets","Texte date durée récurrence retrouvés","11 h / 1.5 h / hebdomadaire 4 conservés","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-01",""
"UI-03","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","photo téléversée","+ puis fermeture/reprise","Conservation photo","Référence photo retrouvée","Retirer cette image présent après reprise","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-01",""
"UI-04","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","deux onglets","Saisir puis Recharger / Confirmer","Conflit entre onglets","Alerte et envoi bloqué puis dernière version","Titre A retrouvé après confirmation dans B","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-03",""
"UI-05","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","brouillon rempli","de","Changement de langue","Libellés allemands sans perte","Texte valeurs et photo conservés","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-06","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A/B","brouillon A","Se déconnecter / Se connecter","Isolation A vers B puis retour A","B vierge et A restauré","Aucun titre ni photo dans B ; retour A complet","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-02",""
"UI-07","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","erreur univers corrigée","Yoga & Somatique / Déposer","Sauvegarde durable et nettoyage","Expérience créée une fois et brouillon effacé","Liste et édition correctes ; crédit 19 vers 18 ; formulaire neuf vide","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-08","http://localhost:3100/espace-praticien/evenements/nouveau","création","praticien","A","brouillon existant","Abandonner / Annuler","Annuler abandon","Saisie conservée","Titre inchangé","PASS","PREUVES.md — Petit écran et clavier","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-05",""
"UI-09","http://localhost:3100/espace-praticien/evenements/af77a791-19fe-469b-813a-a3ea7480eda6","édition","praticien","A","expérience sauvegardée","Titre / recharger / Abandonner / Confirmer","Édition persistante puis abandon","Reprise puis retour serveur sans suppression","Titre original quatre dates et photo intacts","PASS","PREUVES.md — Expérience praticien","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-10","http://localhost:3100/espace-praticien/profil","profil","praticien","A","profil enregistré","Biographie / recharger","Reprise profil","Biographie exacte","QA 08-09 retrouvé","PASS","PREUVES.md — Profils","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-11","http://localhost:3100/espace-praticien/profil","profil","praticien","A","brouillon restauré","Enregistrer ma fiche","Sauvegarde et nettoyage","Serveur mis à jour sans ancien brouillon","Profil mis à jour et même biographie lue en admin","PASS","PREUVES.md — Profils","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-12","http://localhost:3100/admin/praticiens/8ac15446-e72c-4dbb-9295-43c2286477aa","profil","admin","A","brouillon privé praticien","Ouvrir profil","Isolation auteur admin/praticien","Pas de brouillon privé praticien en admin","Texte serveur seul affiché","PASS","PREUVES.md — Profils","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","BRO-LOCAL-02",""
"UI-13","http://localhost:3100/admin/praticiens/8ac15446-e72c-4dbb-9295-43c2286477aa","profil","admin","A","profil enregistré","Biographie / recharger / Abandonner / Confirmer","Reprise et abandon admin","Retour texte serveur après abandon","Reprise puis biographie enregistrée retrouvée","PASS","PREUVES.md — Profils","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-14","http://localhost:3100/admin/lieux/nouveau","création lieu","admin","admin","formulaire vierge","Nom adresse / recharger / Abandonner / Confirmer","Reprise puis abandon nouveau lieu","Valeurs restaurées puis champs vides","Nom adresse restaurés puis vides ; pays CH","PASS","PREUVES.md — Lieux","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-15","http://localhost:3100/admin/lieux/b0000000-0000-4000-8000-000000000001","édition lieu","admin","admin","lieu enregistré","Nom / recharger / Abandonner / Confirmer","Abandon édition lieu","Lieu serveur intact","Salle fictive QA et adresse initiale retrouvés","PASS","PREUVES.md — Lieux","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-16","http://localhost:3100/admin/soumissions/nouveau","création","admin","A","formulaire vierge","Propriétaire titre / recharger / Abandonner / Confirmer","Reprise propriétaire et abandon","Sélection conservée puis remise à zéro","Praticien QA retrouvé puis Choisir et titre vide","PASS","PREUVES.md — Expériences admin","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
"UI-17","http://localhost:3100/admin/soumissions/af77a791-19fe-469b-813a-a3ea7480eda6","édition","admin","A","expérience enregistrée","Titre / recharger / Abandonner / Confirmer","Abandon édition admin","Retour titre serveur","Titre enregistré retrouvé après abandon","PASS","PREUVES.md — Expériences admin","NcIzUhL2hKRGDdtYa0RnL","2026-09-08","Chrome desktop / petit écran selon scénario","",""
